LAST SEEN   TYPE      REASON                         OBJECT                                MESSAGE
43m         Normal    Scheduled                      pod/nginx-testapp-5c8f4cb9d7-4rctb    Successfully assigned testapp/nginx-testapp-5c8f4cb9d7-4rctb to e1
39m         Normal    Scheduled                      pod/nginx-testapp-5c8f4cb9d7-542xd    Successfully assigned testapp/nginx-testapp-5c8f4cb9d7-542xd to e1
10m         Normal    Scheduled                      pod/nginx-testapp-5c8f4cb9d7-56q8h    Successfully assigned testapp/nginx-testapp-5c8f4cb9d7-56q8h to e1
5m31s       Normal    Scheduled                      pod/nginx-testapp-5c8f4cb9d7-79mc4    Successfully assigned testapp/nginx-testapp-5c8f4cb9d7-79mc4 to e1
36m         Normal    Scheduled                      pod/nginx-testapp-5c8f4cb9d7-jvk9x    Successfully assigned testapp/nginx-testapp-5c8f4cb9d7-jvk9x to e1
2m          Normal    Scheduled                      pod/nginx-testapp-5c8f4cb9d7-m7t5q    Successfully assigned testapp/nginx-testapp-5c8f4cb9d7-m7t5q to e1
32m         Normal    Scheduled                      pod/nginx-testapp-5c8f4cb9d7-s8twc    Successfully assigned testapp/nginx-testapp-5c8f4cb9d7-s8twc to e1
9m2s        Normal    Scheduled                      pod/nginx-testapp-5c8f4cb9d7-scgd2    Successfully assigned testapp/nginx-testapp-5c8f4cb9d7-scgd2 to e1
29m         Normal    Scheduled                      pod/nginx-testapp-5c8f4cb9d7-sd5k6    Successfully assigned testapp/nginx-testapp-5c8f4cb9d7-sd5k6 to e1
49m         Normal    Scheduled                      pod/nginx-testapp-5c8f4cb9d7-v6974    Successfully assigned testapp/nginx-testapp-5c8f4cb9d7-v6974 to e2
66m         Normal    Scheduled                      pod/nginx-testapp-5c8f4cb9d7-w99cg    Successfully assigned testapp/nginx-testapp-5c8f4cb9d7-w99cg to e2
66m         Normal    SuccessfulCreate               replicaset/nginx-testapp-5c8f4cb9d7   Created pod: nginx-testapp-5c8f4cb9d7-w99cg
49m         Normal    SuccessfulCreate               replicaset/nginx-testapp-5c8f4cb9d7   Created pod: nginx-testapp-5c8f4cb9d7-v6974
43m         Normal    SuccessfulCreate               replicaset/nginx-testapp-5c8f4cb9d7   Created pod: nginx-testapp-5c8f4cb9d7-4rctb
39m         Normal    SuccessfulCreate               replicaset/nginx-testapp-5c8f4cb9d7   Created pod: nginx-testapp-5c8f4cb9d7-542xd
36m         Normal    SuccessfulCreate               replicaset/nginx-testapp-5c8f4cb9d7   Created pod: nginx-testapp-5c8f4cb9d7-jvk9x
32m         Normal    SuccessfulCreate               replicaset/nginx-testapp-5c8f4cb9d7   Created pod: nginx-testapp-5c8f4cb9d7-s8twc
29m         Normal    SuccessfulCreate               replicaset/nginx-testapp-5c8f4cb9d7   Created pod: nginx-testapp-5c8f4cb9d7-sd5k6
10m         Normal    SuccessfulCreate               replicaset/nginx-testapp-5c8f4cb9d7   Created pod: nginx-testapp-5c8f4cb9d7-56q8h
9m2s        Normal    SuccessfulCreate               replicaset/nginx-testapp-5c8f4cb9d7   Created pod: nginx-testapp-5c8f4cb9d7-scgd2
5m31s       Warning   FailedCreate                   replicaset/nginx-testapp-5c8f4cb9d7   Error creating: Unauthorized
5m31s       Normal    SuccessfulCreate               replicaset/nginx-testapp-5c8f4cb9d7   Created pod: nginx-testapp-5c8f4cb9d7-79mc4
5m31s       Warning   FailedToUpdateEndpoint         endpoints/nginx-testapp               Failed to update endpoint testapp/nginx-testapp: Unauthorized
5m31s       Warning   FailedToUpdateEndpointSlices   service/nginx-testapp                 Error updating Endpoint Slices for Service testapp/nginx-testapp: failed to update nginx-testapp-bf62d EndpointSlice for Service testapp/nginx-testapp: Unauthorized
2m          Normal    SuccessfulCreate               replicaset/nginx-testapp-5c8f4cb9d7   (combined from similar events): Created pod: nginx-testapp-5c8f4cb9d7-m7t5q
